trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.9944883696661514}",25,0,-108.4914206911267,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9943819670274735}",30,0,-276.3296907804803,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 5}",0
106,False,"{'a': 0.5, 'e': 0.9942745500198373}",20,0,-57.82258731368015,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9941661187528189}",20,0,-113.16878876142994,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9940566733370289}",25,0,-79.51639659207284,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.9939462138841126}",20,0,-48.87928975302826,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9938347405067498}",25,0,-132.1247943717918,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9937222533186544}",20,0,-139.33498216064706,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9936087524345745}",25,0,-41.658833556422394,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9934942379702925}",20,0,-185.52528395511922,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.9933787100426243}",20,0,-138.040395372517,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9932621687694203}",20,0,-86.14204860423531,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.993144614269564}",20,0,-125.21762247405348,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.9930260466629729}",25,2,-125.8812319834607,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.9929064660705976}",20,0,-126.46228550862922,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9927858726144224}",20,0,-76.12184685474206,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9926642664174646}",30,0,-46.17777862294521,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.9925416476037747}",25,0,-113.99503946420295,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9924180162984363}",30,15,-35.49188718254008,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.9922933726275655}",20,0,-109.98477849301888,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9921677167183112}",30,0,-126.32900071679171,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9920410486988551}",25,0,-151.75310164586915,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9919133686984114}",30,0,-120.93409599804974,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9917846768472262}",20,0,-68.51141846452127,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9916549732765781}",20,0,-152.14307610907713,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.991524258118778}",30,0,-117.82508803155535,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.991392531507168}",20,0,-74.7272820834416,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.9912597935761225}",20,0,-86.37881280951741,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9911260444610477}",20,0,-150.84944173087214,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.9909912842983808}",20,0,-140.69409047892324,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.9908555132255907}",20,0,-48.76366269784854,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9907187313811775}",20,0,-80.98576541098726,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.9905809389046724}",20,13,-5.636879279686392,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.9904421359366374}",30,0,-169.08392690769628,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
138,False,"{'a': 0.5, 'e': 0.9903023226186654}",25,3,-94.47958547591654,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.9901614990933799}",20,0,-65.2636906088944,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9900196655044352}",25,0,-69.3546218729216,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9898768219965154}",30,0,-144.8569151299349,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9897329687153354}",20,0,-119.37537508293639,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9895881058076399}",20,0,-79.14857123292853,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.9894422334212034}",25,0,-97.84389793496156,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9892953517048304}",20,0,-95.5827593161979,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.9891474608083549}",20,0,-104.73643509138884,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9889985608826405}",20,0,-34.33788171072347,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.9888486520795798}",25,0,-78.02490050223805,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.9886977345520949}",25,0,-82.41816558183085,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9885458084541368}",25,0,-60.09004522823971,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9883928739406851}",25,0,-170.8475986646825,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.9882389311677484}",20,7,-67.4633911399702,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.9880839802923638}",35,9,-91.69738616846088,"{0: 15, 1: 1, 2: 8, 3: 2, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.9879280214725965}",20,0,-78.932040195347,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9877710548675402}",25,0,-117.65027050339684,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9876130806373165}",35,0,-339.1607960350095,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 6}",0
157,False,"{'a': 0.5, 'e': 0.9874540989430749}",20,0,-130.8810178448884,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9872941099469925}",30,0,-269.8066916770543,"{0: 10, 1: 6, 2: 9, 3: 2, 4: 3}",0
159,False,"{'a': 0.5, 'e': 0.9871331138122743}",20,0,-119.35229907583003,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9869711107031522}",25,0,-112.93885297574693,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.9868081007848857}",25,0,-95.6957262222208,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9866440842237612}",20,0,-51.42463539777223,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9864790611870918}",20,0,-78.26677745476869,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9863130318432178}",25,0,-136.0102873823647,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9861459963615055}",20,0,-62.98807422797387,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9859779549123477}",20,4,-22.757951071299168,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.9858089076671638}",25,0,-146.75681889184548,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9856388547983985}",30,0,-315.56290746119515,"{0: 13, 1: 1, 2: 7, 3: 5, 4: 4}",0
169,False,"{'a': 0.5, 'e': 0.985467796479523}",25,9,-55.55686164531921,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.9852957328850337}",20,0,-81.40940789462064,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9851226641904528}",20,0,-93.98214902204496,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9849485905723275}",30,0,-226.0914581693132,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
173,False,"{'a': 0.5, 'e': 0.9847735122082305}",30,0,-136.34106492084243,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.984597429276759}",25,0,-85.46777890093011,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.9844203419575352}",20,0,-46.12392477019939,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9842422504312061}",30,0,-197.0287332402785,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
177,False,"{'a': 0.5, 'e': 0.9840631548794425}",25,0,-73.71083747733425,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.9838830554849401}",25,0,-56.08419115896461,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.9837019524314181}",25,0,-85.41894391475108,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.9835198459036196}",30,0,-23.828861850830485,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9833367360873118}",25,0,-147.53308264281713,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.9831526231692846}",20,0,-53.11234320628391,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
